plate_number,confidence_level
333,1.0
ARL333,1.0
B2228HMIILV0,0.5
BY8117MP7,1.0
0H20DV2J6J,0.32
BY8117MP7,1.0
ARL333,1.0
ARL333,1.0
BY8117MP7,1.0
KQX3670,0.98
KQX3670,0.98
JJ,0.29
0H20DV2J6J,0.32
VJS540,0.67
3Y,0.96
3Y,0.96
BY8117MP7,1.0
BY8117MP7,1.0
BY8117MP7,1.0
BY8117MP7,1.0
0H20DV2J6J,0.32
0H20DV2J6J,0.32
HH20 DY 2363,0.83
333ARL,0.98
2228 HMB1,0.94
2228HMB1,0.95
8117MP-7BY,1.0
BY8117MP-7,1.0
1B2228HM,0.95
HH20DY2363,0.83
ARL333,0.99
1B2228HM,0.95
KQX367O,0.94
KQX367O,0.94
......,0.8
WPX568,0.93
HH20DY2363,0.83
HH20DY2363,0.83
